link,name,department,academic_interests,bio
https://pages.charlotte.edu/connections/people/bjnoble/,Bonnie Noble,Art & Art History,"art
art and devotion
art history
devotional practice
Germany
Gothic periods
medieval and renaissance periods
Northern Baroque
Northern Renaissance


Reformation
religion
religion and culture
religious studies
Renaissance
renaissance studies
visual arts
visual culture","Dr. Bonnie Noble is an Associate Professor of Art History in the Department of Art & Art History and has been teaching at the University of North Carolina at Charlotte since 1999. She received her Ph.D. in Art History from Northwestern University, her M.A. in Art History from the University of Pennsylvania and her B.A. in Religious Studies from Northwestern University. Dr. Noble specializes in Northern Renaissance art, with a particular interest in the function of images in devotional practice. Her book Lucas Cranach the Elder: Art and Devotion of the German Reformation, was published in 2009 by the University Press of America. Her work has also appeared in such scholarly journals as Reformation, Sixteenth Century Journal, and Reformation and Renaissance Review, and she is the author of chapters in major Art History publications such as The Primacy of the Image in Northern European Art, 1400-1700 (Leiden: Brill, 2017), Lucas Cranach der Jüngere und die Reformation der Bilder (München: Hirmer, 2015), and The Oxford Encyclopedia of Aesthetics, 2 nd edition (Oxford: Oxford UP, 2014). Her article “‘[A] work in which the angels are wont to rejoice’: Lucas Cranach’s Schneeberg Altarpiece” was honored with the Harold J. Grimm Prize, for the best article published in the previous year in the international field of Reformation Germany. She has received grants from the Kress Foundation, the German Academic Exchange Service, and the National Endowment for the Humanities.







Dr. Noble teaches upper-level classes in Northern Renaissance, Northern Baroque, and Gothic periods, as well as introductory surveys of Art History from the stone age to the twentieth century. Her current book project, provisionally called, “Mimesis, Melancholia and Misapprehension,” explores the intersection of representational techniques such as linear perspective with the rise of depictions of Melancholia and anxieties about visual perception.
See her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/cbrtis/,Chelsea Brtis,Art & Art History,,
https://pages.charlotte.edu/connections/people/csinger3/,Christina Singer,Art & Art History,,
https://pages.charlotte.edu/connections/people/cfrank18/,Cynthia Frank,Art & Art History,"art
art history
design


graphic design
public art
visual arts","Cynthia Frank is a Lecture of Graphic Design in the Department of Art & Art History. In addition to teaching full time at UNC Charlotte, she produces design work for both local and national clients and creates public art with  PAC3, a partnership based on a mutual interest in dynamic form/space relationships. She has served on the Boards of AIGA Charlotte, Founders’ Circle Affiliate of the Mint Museum Craft + Design and The Wall Poems of Charlotte, an ongoing public mural project that celebrates North Carolina’s literary heritage. In her spare time, Frank sings with Vox, a semi-professional choir, and paints and exhibits artwork. 

See more on her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/dbbrodeu/,David Brodeur,Art & Art History,"art
design
graphic design


illustration
printmaking
visual arts","David Brodeur is an Associate Professor of Graphic Design in the Department of Art & Art History. He has been a faculty member at UNC Charlotte since July 2000. While he primarily teaches Graphic Design, he has also taught classes in Printmaking, Illustration, and Foundations. After receiving a BS in Art from Southern Connecticut State University in 1993, he worked commercially for six years as a Senior Designer and Art Director. He received his Master of Fine Arts degree from the University of Wisconsin – Madison in May, 2000. He is currently a practicing studio artist and freelance designer. His work has been included in over 50 national exhibitions and has won several awards including Best in Show.



See more on his faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/aleventi/,Andrew Leventis,Art & Art History,"art
art history
cultural studies
fine arts
mass media


oil painting
painting
popular culture
visual arts","Andrew Leventis is an Assistant Professor of Painting in the Department of Art & Art History. He is an oil painter who references imagery from film and television in his work. He earned a BFA in Painting from the American Academy of Art in Chicago and an MFA in Fine Art from Goldsmiths College, University of London. Over the past years, his work has been featured in Norway at Kunstgalleriet, in London at Matt Roberts Arts, and in Rome at The Venanzo Crocetti Museum. In the US, his work was recently incorporated into the Mainframe exhibition at the Mint Museum of Art, and at The Brooklyn Waterfront Artists’ Coalition annual juried show.
See his faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/aherren/,Angela Rajagopalan,Art & Art History,"16th-century Mexico
art
art history
colonialism
culture studies


early colonial art
pre-Columbian art
Spanish conquest
visual arts
visual culture","Dr. Angela Rajagopalan is the Associate Chair and an Associate Professor of Art History in the Department of Art & Art History where she teaches courses on Pre-Columbian and early colonial art and architecture of Mexico and serves as a Faculty Fellow to the Levine Scholars Program. Her research focuses on sixteenth-century painted manuscripts from central Mexico and explores changing artistic practices in the century after the Spanish conquest. She is the author of a book titled, “Portraying the Mexica (Aztec) Past: A Study of 16th-Century Mexican Manuscript Painting in Transition,” that will be coming out with the University of Texas Press. Prior to her arrival at UNC Charlotte, she worked in several New York museums, including the Metropolitan Museum of Art, the Brooklyn Museum of Art, the Americas Society Gallery, and the Hispanic Society of America. Dr. Rajagopalan has been the recipient of many awards including several competitive national grants. Among others, she has been awarded a Fulbright Scholar Grant to Mexico from the U.S. Department of State, a National Endowment for the Humanities Summer Institute award, a Coleman Memorial Fund Art History Fellowship from the Metropolitan Museum of Art in New York, and a Mellon Fellowship from the Council on Library and Information Resources.




See her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/aekluttz/,Ann Kluttz,Art & Art History,"art
photography


visual arts","Ann Kluttz is a Senior Lecturer in Photography and the Photographic Facilities Manager for the Department of Art & Art History. 

See her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/akenar/,Anna Kenar,Art & Art History,"art
art history


visual arts","Anna Kenar is a lecturer in foundations for the Department of Art & Art History.



View her faculty profile at coaa.uncc.edu >>"
https://pages.charlotte.edu/connections/people/ahochhal/,Aspen Hochhalter,Art & Art History,"alternative photographic process
appropriation
art
art history
digital technologies
experimental materials


historic art processes
photography
portraiture
self-portraiture
visual arts","Aspen Hochhalter is an Associate Professor and the Photography Area Coordinator in the Department of Art & Art History. She was born and raised in Chipita Park, Colorado. She received her Masters of Fine Arts in Photo-Based Media at East Carolina University in Greenville, North Carolina and her BFA in Photography from Creighton University in Omaha, Nebraska.

Her work explores the crossover between digital technologies, historic processes, and the use of experimental materials through appropriation, self-portraiture, and collaborative projects. Recent accomplishments include work published in The Book of Alternative Photographic Processes: 3rd Edition, McColl Center for Art + Innovation Residency, exhibits at Pease Gallery CPCC, Castell Photography Gallery, East Carolina University, Kiernan Gallery, The Light Factory, and many other venues across the country. She serves as the Light Factory’s Board of Directors Vice President and is active in the Society for Photographic Education, serving as a member of the National Board of Directors.


See her faculty profile at coaa.uncc.edu >>"
